,Name,Code
979,宁波富达,600724
980,ST云维,600725
981,华电能源,600726
982,鲁北化工,600727
983,佳都科技,600728
984,重庆百货,600729
985,中国高科,600730
986,湖南海利,600731
987,ST新梅,600732
988,北汽蓝谷,600733
989,实达集团,600734
990,新华锦,600735
991,苏州高新,600736
992,中粮糖业,600737
993,兰州民百,600738
994,辽宁成大,600739
995,山西焦化,600740
996,华域汽车,600741
997,一汽富维,600742
998,华远地产,600743
999,华银电力,600744
1000,闻泰科技,600745
1001,江苏索普,600746
1002,ST大控,600747
1003,上实发展,600748
1004,*ST藏旅,600749
1005,江中药业,600750
1006,海航科技,600751
1007,*ST哈慈,600752
1008,东方银星,600753
1009,锦江股份,600754
1010,厦门国贸,600755
1011,浪潮软件,600756
1012,长江传媒,600757
1013,红阳能源,600758
1014,洲际油气,600759
1015,中航沈飞,600760
1016,安徽合力,600761
1017,S*ST金荔,600762
1018,通策医疗,600763
1019,中国海防,600764
1020,中航重机,600765
1021,园城黄金,600766
1022,ST运盛,600767
1023,宁波富邦,600768
1024,祥龙电业,600769
1025,综艺股份,600770
1026,广誉远,600771
1027,S*ST龙昌,600772
1028,西藏城投,600773
1029,汉商集团,600774
1030,南京熊猫,600775
1031,东方通信,600776
1032,新潮能源,600777
1033,*ST友好,600778
1034,水井坊,600779
1035,通宝能源,600780
1036,辅仁药业,600781
1037,新钢股份,600782
1038,鲁信创投,600783
1039,鲁银投资,600784
1040,新华百货,600785
1041,东方锅炉,600786
1042,中储股份,600787
1043,*ST达曼,600788
1044,鲁抗医药,600789
1045,轻纺城,600790
1046,京能置业,600791
1047,云煤能源,600792
1048,宜宾纸业,600793
1049,保税科技,600794
1050,国电电力,600795
1051,钱江生化,600796
1052,浙大网新,600797
1053,宁波海运,600798
1054,*ST龙科,600799
1055,天津磁卡,600800
1056,华新水泥,600801
1057,福建水泥,600802
1058,新奥股份,600803
1059,鹏博士,600804
1060,悦达投资,600805
1061,退市昆机,600806
1062,*ST天业,600807
1063,马钢股份,600808
1064,山西汾酒,600809
1065,神马股份,600810
1066,东方集团,600811
1067,华北制药,600812
1068,ST鞍一工,600813
1069,杭州解百,600814
1070,厦工股份,600815
1071,安信信托,600816
1072,ST宏盛,600817
1073,中路股份,600818
1074,耀皮玻璃,600819
1075,隧道股份,600820
1076,津劝业,600821
1077,上海物贸,600822
1078,世茂股份,600823
1079,益民集团,600824
1080,新华传媒,600825
1081,兰生股份,600826
1082,百联股份,600827
1083,茂业商业,600828
1084,人民同泰,600829
1085,香溢融通,600830
1086,广电网络,600831
1087,东方明珠,600832
1088,第一医药,600833
1089,申通地铁,600834
1090,上海机电,600835
1091,界龙实业,600836
1092,海通证券,600837
1093,上海九百,600838
1094,四川长虹,600839
1095,新湖创业,600840
1096,上柴股份,600841
1097,中西药业,600842
1098,上工申贝,600843
1099,丹化科技,600844
1100,宝信软件,600845
1101,同济科技,600846
1102,万里股份,600847
1103,上海临港,600848
1104,上药转换,600849
1105,华东电脑,600850
1106,海欣股份,600851
1107,*ST中川,600852
1108,龙建股份,600853
1109,春兰股份,600854
1110,航天长峰,600855
1111,中天能源,600856
1112,宁波中百,600857
1113,银座股份,600858
1114,王府井,600859
1115,京城股份,600860
1116,北京城乡,600861
1117,中航高科,600862
1118,内蒙华电,600863
1119,哈投股份,600864
1120,百大集团,600865
1121,星湖科技,600866
1122,通化东宝,600867
1123,梅雁吉祥,600868
1124,智慧能源,600869
1125,*ST厦华,600870
1126,*ST油服,600871
1127,中炬高新,600872
1128,梅花生物,600873
1129,创业环保,600874
1130,东方电气,600875
1131,洛阳玻璃,600876
1132,ST嘉陵,600877
1133,*ST北科,600878
